id;subst;date;hour;lat;lon;elev;land;z0;d0;href;ccon;ra;bnh3;bso2;nh3so2;diam;dens;cloud;ua;hum;grad;tmp;ha;stab;lm;wet
A_HNO3_2007-01-01-00-00-00;HNO3;2007-01-01;0;50.75;11.53;-60.25;4;1.5;9;-9999;0.4115;0;0.16;1.52;1;0;1;8;6.1;97.3;0;5.7;34.79;0;0;0
A_HNO3_2007-01-01-01-00-00;HNO3;2007-01-01;1;50.75;11.53;-55.54;4;1.5;9;-9999;0.3144;0;0.16;1.52;1;0;1;7;6.5;97.3;0;6.7;34.79;0;0;0
A_HNO3_2007-01-01-02-00-00;HNO3;2007-01-01;2;50.75;11.53;-48.22;4;1.5;9;-9999;0.1278;0;0.16;1.52;1;0;1;8;5.5;96.3;0;7.2;34.79;0;0;0
A_HNO3_2007-01-01-03-00-00;HNO3;2007-01-01;3;50.75;11.53;-39.57;4;1.5;9;-9999;0.1073;0;0.16;1.52;1;0;1;8;6.1;93.1;0;8.1;34.79;0;0;1
A_HNO3_2007-01-01-04-00-00;HNO3;2007-01-01;4;50.75;11.53;-30.39;4;1.5;9;-9999;0.1114;0;0.16;1.52;1;0;1;8;5.6;91.2;0;7.9;34.79;0;0;1
A_HNO3_2007-01-01-05-00-00;HNO3;2007-01-01;5;50.75;11.53;-21.18;4;1.5;9;-9999;0.223;0;0.16;1.52;1;0;1;7;5.5;91.8;0;7.3;34.79;0;0;0
A_HNO3_2007-01-01-06-00-00;HNO3;2007-01-01;6;50.75;11.53;-12.3;4;1.5;9;-9999;0.4643;0;0.16;1.52;1;0;1;7;5.1;90.8;0;6.2;34.79;0;0;0
A_HNO3_2007-01-01-07-00-00;HNO3;2007-01-01;7;50.75;11.53;-4.08;4;1.5;9;-9999;0.7153;0;0.16;1.52;1;0;1;8;5.8;88.5;0;5.5;34.79;0;0;0
A_HNO3_2007-01-01-08-00-00;HNO3;2007-01-01;8;50.75;11.53;3.13;4;1.5;9;-9999;0.5173;0;0.16;1.52;1;0;1;7;5.7;86.6;6;5.1;34.79;0;0;0
A_HNO3_2007-01-01-09-00-00;HNO3;2007-01-01;9;50.75;11.53;8.95;4;1.5;9;-9999;0.3532;0;0.16;1.52;1;0;1;5;6.6;86;26;5;34.79;0;0;0
A_HNO3_2007-01-01-10-00-00;HNO3;2007-01-01;10;50.75;11.53;13.01;4;1.5;9;-9999;0.2294;0;0.16;1.52;1;0;1;7;7;84.1;32;5;34.79;0;0;0
A_HNO3_2007-01-01-11-00-00;HNO3;2007-01-01;11;50.75;11.53;14.98;4;1.5;9;-9999;0.1722;0;0.16;1.52;1;0;1;8;6;82.1;33;4.8;34.79;0;0;0
A_HNO3_2007-01-01-12-00-00;HNO3;2007-01-01;12;50.75;11.53;14.66;4;1.5;9;-9999;0.1173;0;0.16;1.52;1;0;1;8;5.2;82.3;34;4.5;34.79;0;0;0
A_HNO3_2007-01-01-13-00-00;HNO3;2007-01-01;13;50.75;11.53;12.1;4;1.5;9;-9999;0.1377;0;0.16;1.52;1;0;1;8;6.2;80.6;34;4.6;34.79;0;0;0
A_HNO3_2007-01-01-14-00-00;HNO3;2007-01-01;14;50.75;11.53;7.53;4;1.5;9;-9999;0.1426;0;0.16;1.52;1;0;1;8;6;79.1;24;4.3;34.79;0;0;1
A_HNO3_2007-01-01-15-00-00;HNO3;2007-01-01;15;50.75;11.53;1.29;4;1.5;9;-9999;0.1642;0;0.16;1.52;1;0;1;7;4.7;85.2;6;3.1;34.79;0;0;1
A_HNO3_2007-01-01-16-00-00;HNO3;2007-01-01;16;50.75;11.53;-6.23;4;1.5;9;-9999;0.06872;0;0.16;1.52;1;0;1;8;4.8;94.8;0;1.6;34.79;0;0;0
